Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"2,016.96",84.61,"3,472.69","3,464.45","3,449.94","3,253.82","2,991.82","1,876.23","1,305.84"
Inter Token Latency (ms),91.00,55.26,134.69,124.04,118.20,114.74,105.37,90.22,76.01
Request Latency (ms),"7,229.53","7,028.15","7,350.84","7,347.42","7,343.76","7,341.53","7,321.70","7,243.96","7,159.24"
Output Sequence Length,58.46,50.00,70.00,66.00,64.00,63.00,60.00,58.00,56.00
Input Sequence Length,200.03,200.00,202.00,201.01,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),2014.70
Request Throughput (per sec),34.46
