Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),24.49,23.61,25.90,25.57,25.10,25.03,24.80,24.58,24.22
Inter Token Latency (ms),11.31,9.88,12.60,12.59,12.34,12.16,11.87,11.30,10.75
Request Latency (ms),667.38,665.10,671.48,671.42,669.89,669.34,668.30,666.97,666.39
Output Sequence Length,58.06,52.00,66.00,64.96,63.00,62.80,61.00,58.00,55.00
Input Sequence Length,200.02,200.00,201.00,200.48,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),86.98
Request Throughput (per sec),1.50
