task_inputs-model,task_inputs-execution_type,task_inputs-GPU,task_inputs-n_gpus,task_inputs-precision,request_throughput-unit,request_throughput-avg,request_latency-unit,request_latency-avg,request_latency-p95,time_to_first_token-unit,time_to_first_token-avg,time_to_first_token-p95,inter_token_latency-unit,inter_token_latency-avg,inter_token_latency-p95,output_token_throughput-unit,output_token_throughput-avg,output_token_throughput_per_request-unit,output_token_throughput_per_request-avg,output_token_throughput_per_request-p95,num_output_token-unit,num_output_token-avg,num_output_token-p95,num_input_token-unit,num_input_token-avg,num_input_token-p95,input_config-model,input_config-backend,input_config-extra_inputs-max_tokens,input_config-stability_percentage,input_config-concurrency,input_config-synthetic_input_tokens_mean,input_config-synthetic_input_tokens_stddev,input_config-output_tokens_mean
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.25429114921289847,ns,19660327988.24,19707172546.4,ns,336269375.84,441773832.15,ns,9666862.737568785,10138940.95,tokens/sec,508.582298425797,tokens/sec,101.72776305109574,101.77214976578027,tokens,2000.0,2000.0,tokens,1999.58,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,5,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,1.0562672698641364,ns,46836306585.01,47913059259.4,ns,2110941965.22,3724017193.25,ns,22373869.24451726,25061861.5,tokens/sec,2112.534539728273,tokens/sec,42.70454996747285,42.83133598151191,tokens,2000.0,2000.0,tokens,1999.66,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,50,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.10532010634781266,ns,18988077840.68182,19018896917.55,ns,132720676.13636364,169796663.75,ns,9432394.779662559,9838780.0,tokens/sec,210.64021269562534,tokens/sec,105.32929580185761,105.39723772994441,tokens,2000.0,2000.0,tokens,1999.3636363636363,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,2,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.053865671180648125,ns,18563213768.81818,18575546547.0,ns,91378799.81818181,98181985.5,ns,9240537.753376689,9625835.2,tokens/sec,107.73134236129626,tokens/sec,107.73998567820163,107.78319007122178,tokens,2000.0,2000.0,tokens,1999.3636363636363,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,1,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,1.3966789933586645,ns,174704697954.93228,181971159113.75,ns,9026564873.836458,17047363717.65,ns,82878840.80847561,103420374.99999999,tokens/sec,2793.357986717329,tokens/sec,11.60105831609255,11.92499641811656,tokens,2000.0,2000.0,tokens,1999.6604166666666,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,250,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,1.313690311468292,ns,112247875199.85333,119063082726.8,ns,3587360710.557778,10666015465.3,ns,54357144.59864586,61156305.0,tokens/sec,2627.380622936584,tokens/sec,17.826246039750448,18.048289792595266,tokens,2000.0,2000.0,tokens,1999.651111111111,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,150,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.25421106906143387,ns,19666484871.08,19694516105.95,ns,335913292.4,427805529.45,ns,9670120.849764882,10151471.0,tokens/sec,508.4221381228678,tokens/sec,101.69589807299883,101.76120306253509,tokens,2000.0,2000.0,tokens,1999.58,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,5,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.4348148063203515,ns,22993840995.266666,23042311989.2,ns,701304543.6222222,803805938.65,ns,11151837.586258456,11969478.999999998,tokens/sec,869.629612640703,tokens/sec,86.97987528137396,87.0488480339986,tokens,2000.0,2000.0,tokens,1999.6777777777777,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,10,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,1.22008493521864,ns,80602001440.94333,84661162640.4,ns,2938795110.68,7344760585.2,ns,38851017.5242989,43246733.150000006,tokens/sec,2440.16987043728,tokens/sec,24.82101780601821,25.087334816924027,tokens,2000.0,2000.0,tokens,1999.66,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,100,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.7983441528257407,ns,31298560856.81333,31364621496.949997,ns,1420548402.34,1879779114.8999982,ns,14946313.834604172,16479148.55,tokens/sec,1596.6883056514814,tokens/sec,63.900750543913176,63.94000724174908,tokens,2000.0,2000.0,tokens,1999.6333333333334,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,25,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,1.3372463118816214,ns,145759809020.4825,155245835267.0,ns,5242087013.9325,14456819010.55,ns,70294089.53007893,83413122.25,tokens/sec,2674.4926237632426,tokens/sec,13.733360807144996,14.045839672726789,tokens,2000.0,2000.0,tokens,1999.66,2000.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,200,2000,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.279510289830455,ns,17883912654.833332,17918610539.3,ns,45074697.166666664,122989969.49999996,ns,8923880.919292979,9425881.0,tokens/sec,559.02057966091,tokens/sec,111.83260725984461,111.89364661360167,tokens,2000.0,2000.0,tokens,199.63333333333333,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,5,200,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,1.6998222981029862,ns,29383343971.08,29634001548.75,ns,259513124.57428572,442406222.2,ns,14569072.731643412,17783746.0,tokens/sec,3399.6445962059724,tokens/sec,68.06643465859577,68.2583968440956,tokens,2000.0,2000.0,tokens,199.64857142857142,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,50,200,0,2000
meta-llama3-8b-instruct,NIM_TRT-LLM,A100-SXM4-80GB,2,fp16,requests/sec,0.11484533762901306,ns,17413098403.958332,17426993378.2,ns,32218615.416666668,37776631.35,ns,8694772.882799309,9117064.6,tokens/sec,229.69067525802612,tokens/sec,114.85608386791341,114.89812125945599,tokens,2000.0,2000.0,tokens,199.41666666666666,200.0,meta-llama3-8b-instruct,tensorrtllm,2000,999,2,200,0,2000
