Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),135.87,26.08,166.27,162.80,160.06,159.56,157.33,147.73,146.50
Inter Token Latency (ms),12.90,10.77,16.87,15.82,14.95,14.26,13.41,12.77,12.11
Request Latency (ms),876.93,867.47,888.59,888.50,887.47,886.38,883.04,874.58,871.61
Output Sequence Length,58.68,50.00,70.00,67.91,65.00,63.00,61.00,58.00,56.00
Input Sequence Length,200.03,200.00,202.00,201.00,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),668.94
Request Throughput (per sec),11.40
