Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),"1,024.21",75.90,"1,530.63","1,529.93","1,398.32","1,388.12","1,332.49","1,192.57",636.72
Inter Token Latency (ms),36.98,24.82,53.03,49.36,46.86,45.35,42.64,35.51,31.72
Request Latency (ms),"3,142.09","2,928.64","3,265.36","3,265.26","3,264.18","3,239.70","3,209.43","3,143.99","3,118.38"
Output Sequence Length,58.47,51.00,69.00,67.00,64.00,63.00,61.00,58.00,56.00
Input Sequence Length,200.03,200.00,202.00,201.01,200.00,200.00,200.00,200.00,200.00

Metric,Value
Output Token Throughput (per sec),1858.85
Request Throughput (per sec),31.79
